,flag,フラグ,何回目か,手動操縦,桜美林学生,米国ライセンス,日本_事業用ライセンス,日本_計器飛行ライセンス,定期操縦士ライセンス,ライセンス取得数
0,1,auto-pilot,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1,2,学生1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1
2,3,学生2,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1
3,4,学生3,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1
4,5,学生4,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1
5,6,学生4,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1
6,7,学生5,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1
7,8,学生6,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1
8,9,学生7,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1
9,10,学生8,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1
10,11,学生9,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3
11,12,学生10,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3
12,13,学生10,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1
13,14,学生11,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1
14,15,学生11,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
15,16,学生12,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
16,17,学生13,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
17,18,学生14,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
18,19,学生15,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3
19,20,学生15,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3
20,21,学生16,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
21,22,学生16,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3
22,23,学生13,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
23,24,学生17,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
24,25,学生17,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
25,26,学生18,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
26,27,学生18,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
27,28,元機長,1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4
28,29,元機長,2,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4
29,30,機長1,1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4
30,31,機長2,1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4
